,Brand,Model Name,Type,Capacity in Tons,Star Rating,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor Unit Weight,Outdoor Unit Weight,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,Price,indoor W,indoor h,indoor d,outdoor W,outdoor h,outdoor d,low Indoor Noise Level,high Indoor Noise Level
402,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,LED,No,Yes,3.67,,,No,Yes,,Air Vent: Cross Flow,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
403,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,No Series,No,3517,Rotary,Yes,Yes,R32,,"Follow Me Technology,Turbo Cool mode",Copper,11,21,,No,Yes,3.8,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
404,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
406,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
407,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,No Series,No,3517,Rotary,Yes,Yes,R32,,"Follow Me Technology,Turbo Cool mode",Copper,11,21,,No,Yes,3.8,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
409,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
410,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
411,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
412,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,LED,No,Yes,3.67,,,No,Yes,,Air Vent: Cross Flow,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
415,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,No Series,No,3517,Rotary,Yes,Yes,R32,,"Follow Me Technology,Turbo Cool mode",Copper,11,21,,No,Yes,3.8,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
418,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,No Series,No,3517,Rotary,Yes,Yes,R32,,"Follow Me Technology,Turbo Cool mode",Copper,11,21,,No,Yes,3.8,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
421,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
422,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
423,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,No Series,No,3517,Rotary,Yes,Yes,R32,,"Follow Me Technology,Turbo Cool mode",Copper,11,21,,No,Yes,3.8,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
424,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,LED,No,Yes,3.67,,,No,Yes,,Air Vent: Cross Flow,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
426,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,No Series,No,3517,Rotary,Yes,Yes,R32,,"Follow Me Technology,Turbo Cool mode",Copper,11,21,,No,Yes,3.8,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
427,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,Floral,No,3517,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan","Follow Me Technology,Turbo Cool mode",Copper,11,21,Yes,Yes,Yes,3.8,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
428,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
429,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
430,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
432,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,No Series,No,3517,Rotary,Yes,Yes,R32,,"Follow Me Technology,Turbo Cool mode",Copper,11,21,,No,Yes,3.8,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
433,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",Inverter,Copper,14.9,28.3,LED,No,Yes,3.67,,,No,Yes,,Air Vent: Cross Flow,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
434,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
436,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,Floral,No,3517,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan","Follow Me Technology,Turbo Cool mode",Copper,11,21,Yes,Yes,Yes,3.8,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
437,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
438,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
444,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,No Series,No,3517,Rotary,Yes,Yes,R32,,"Follow Me Technology,Turbo Cool mode",Copper,11,21,,No,Yes,3.8,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
445,SAMSUNG,AR18NV3XEWKNNA/AR18NV3XEWKXNA,0,1.5,3,No Series,No,5350,BLDC,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",Rotary Compressor,Alloy,13.4,29.7,LED,No,Yes,3,Blue,,No,Yes,,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1860 W,56500,1065,301,311,790,548,285, Low - 26 dB,High - 45 dB
446,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,Floral,No,3517,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan","Follow Me Technology,Turbo Cool mode",Copper,11,21,Yes,Yes,Yes,3.8,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
447,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
448,SAMSUNG,AR18NV3XEWKNNA/AR18NV3XEWKXNA,0,1.5,3,No Series,No,5350,BLDC,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",Rotary,Alloy,13.4,29.7,Yes,Yes,Yes,3,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,Yes,Yes,4 Way,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1860 W,56500,1065,301,311,790,548,285, Low - 26 dB,High - 45 dB
449,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,0,1,3,Floral,No,3517,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan","Follow Me Technology,Turbo Cool mode",Copper,11,21,Yes,Yes,Yes,3.8,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1150 W,28990,80.5,28.5,19.4,72,49.5,27,Low - 35 dB,High - 55 dB
450,SAMSUNG,AR18NV3XEWKNNA/AR18NV3XEWKXNA,0,1.5,3,No Series,No,5350,BLDC,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",Rotary Compressor,Alloy,13.4,29.7,LED,No,Yes,3,Blue,,No,Yes,,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1860 W,56500,1065,301,311,790,548,285, Low - 26 dB,High - 45 dB
452,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
454,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,Kaze Plus,No,4982,Rotary,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Inverter,Copper,14.9,28.3,No,No,Yes,3.67,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 48 dB,High - 55 dB
456,SAMSUNG,AR18NV3XEWKNNA/AR18NV3XEWKXNA,0,1.5,3,No Series,No,5350,BLDC,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",Rotary,Alloy,13.4,29.7,Yes,Yes,Yes,3,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,Yes,Yes,4 Way,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1860 W,56500,1065,301,311,790,548,285, Low - 26 dB,High - 45 dB
457,SAMSUNG,AR18TY3QBBRNNA/AR18TY3QBBRXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,30999,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
460,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,0,1.5,3,No Series,No,4982,Rotary,Yes,Yes,R32,,Inverter,Copper,14.9,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,31990,95.7,55.4,21.3,80,55.4,33.3,Low - 35 dB,High - 55 dB
