,Brand,Model Name,Type,Capacity in Tons,Star Rating,Color,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,LED Backlit Buttons,Night Glow Buttons on Remote,Battery Type,Price
0,Lloyd,LS12I56HAWA,Split,1 Ton,5 Star BEE Rating,Print White,Turbocool,No,3520 W,Inverter Compressor,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,87 cm x 20 cm x 29.8 cm,10 kg,56 cm x 56 cm x 36.5 cm,26.7 kg,"High - 45 dB, Low - 28 dB",LED Digital Display,Yes,Yes,3.4 W/W,Blue Coating,Blue Fin,Yes,No,2 Way Air Direction,4 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",577.43 W,No,Yes,2 AAA Batteries,"35,489"
1,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
2,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,,No,,Yes,4.1 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
3,ONIDA,IR183RHO,Split,1.5 Ton,3 Star BEE Rating,White,,,5200 W,Dual Rotary,Yes,Yes,R32,,,Copper,91 cm x 29.4 cm x 20.6 cm,9 kg,81.7 cm x 55.3 cm x 32.8 cm,27 kg,,LED,,Yes,,,,,Yes,,,No,Yes,No,Yes,,Yes,,Yes,,,,"AC 220 - 240 V, 50 Hz",1820 W,,,,"28,490"
4,IFB,IACI12SA3G3C,Split,1 Ton,3 Star BEE Rating,White,,,3500 W,Rotary,Yes,Yes,R32,,,Copper,777 mm x 250 mm x 205 mm,8 kg,520 mm x 728 mm x 256 mm,23 kg,,LED,,Yes,3.7 W/W,,,,Yes,,,Yes,Yes,No,Yes,,Yes,,Yes,,,,AC 230 V,732.29 kWh,,,,"32,490"
5,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",Inverter,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,High - 35 dB,No,No,Yes,4.1 W/W,,Ocean Black Fin,No,Yes,2 Way,4 Way Air Swing,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
6,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,Split,1.5 Ton,5 Star BEE Rating,White,,,5000 W,Rotary,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",,Copper,105.5 cm x 29.9 cm x 21.5 cm,11.4 kg,88 cm x 63.8 cm x 31 cm,37 kg,,,,,4.65 W/W,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,1380 W,,,AAA Batteries,"35,990"
7,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
8,Blue Star,IC318EBTU,Split,1.5 Ton,3 Star BEE Rating,White,,No,4850 W,Inverter Compressor,Yes,Yes,R32,"Auto, Cool, Fan, Dry",,Copper,840 mm x 270 mm x 210 mm,9 kg,84 cm x 54 cm x 30 cm,26.8 kg,Low - 43 dB,,,Yes,3.85 W/W,,Anti-corrosive Blue Fins,No,Yes,,4 Way Air Swing,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"AC 230 V, 50 Hz",975.37 W,No,,2 AAA Batteries,"37,999"
9,LG,LS-Q18YNYA,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",,Copper,99.8 cm x 33 cm x 21 cm,10.5 kg,77 cm x 54.5 cm x 28.8 cm,30 kg,"High - 42 dB, Low - 36 dB",LED 7 Segment,Yes,Yes,4 W/W,Blue Fin,,,Yes,2 Way Air Direction,,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,AC 230 V,920.82 kWh,Yes,,AA Batteries,"39,990"
10,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,LED,,Yes,3.67 W/W,,,No,Yes,,Air Vent: Cross Flow,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1748 W,,Yes,,"31,990"
11,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
12,SAMSUNG,AR18AY4ZAPG,Split,1.5 Ton,4 Star BEE Rating,White,,,5000 W,Digital Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,88.9 cm x 29.9 cm x 21.5 cm,10.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,,,Yes,Yes,,,,AC 230 V,940.09 W,,,2 AAA Batteries,"33,750"
13,Voltas,184V CZJ/184V CZP,Split,1.5 Ton,4 Star BEE Rating,"White, Brown",,,5200 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,99 cm x 31 cm x 24 cm,13 kg,83 cm x 55 cm x 29 cm,33.5 kg,,,,,,,,,,,,No,Yes,,Yes,,,,,,,,AC 230 V,1540 W,,,,"33,990"
14,O General,ASGG24CPTA-B,Split,2 Ton,3 Star BEE Rating,White,,No,3500 W,Hyper Tropical Rotary Compressor,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,98 cm x 28 cm x 24 cm,65 kg,24 cm x 54.1 cm x 28 cm,65 kg,"High - 37 dB, Low - 21 dB",Yes,Yes,Yes,3 W/W,Hydrophilic Aluminum,Hydrophobic Aluminium,No,Yes,,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,,AC 230 V,2140 W,,Yes,2 AAA Batteries,"60,990"
15,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",Inverter,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,High - 35 dB,No,No,Yes,4.1 W/W,,Ocean Black Fin,No,Yes,2 Way,4 Way Air Swing,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
16,Whirlpool,1.0T MAGICOOL PRO 3S COPR INV / 1.0T MAGICOOL 3S COPR INV/1.0T MAGICOOL 3S COPR INV (Z)-I/O,Split,1 Ton,3 Star BEE Rating,White,Magicool Pro,No,3580 W,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Fan Mode",,Copper,80 cm x 29.5 cm x 23 cm,9.3 kg,78 cm x 55.7 cm x 24.1 cm,26 kg,,Hidden,,Yes,4.65 W/W,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,,"AC 230 V, 50 Hz",1075 W,,Yes,AAA Batteries,"26,990"
17,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
18,SAMSUNG,AR12AYMZABENNA/XNA,Split,1 Ton,4 Star BEE Rating,White,,,3300 W,Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,82 cm x 29.9 cm x 21.5 cm,9 kg,72 cm x 54.8 cm x 26.5 cm,24.3 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,634.66 W,,,2 AAA Batteries,"29,490"
19,Daikin,FTKG50TV16U/RKG50TV16U,Split,1.5 Ton,5 Star BEE Rating,White,Magicool Elite Pro,No,5000 W,Neo Swing,No,Yes,R-32,"Cool Mode, Dry Mode, Fan Mode",,Copper,88.5 cm x 29.8 cm x 22.9 cm,16 kg,84.5 cm x 59.5 cm x 30 cm,44 kg,,,,Yes,4.7 W/W,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,"AC 230 V, 50 Hz",1415 W,,No,,"43,990"
20,SAMSUNG,AR18TY3QBBRNNA/AR18TY3QBBRXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Brown",,No,4982 W,Rotary,Yes,Yes,,,,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 kg,,,,Yes,3.67 W/W,,,No,,,,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1748 W,,,,"30,999"
21,CARRIER,12K 3 STAR ESTER Nx SPLIT AC,Split,1 Ton,3 Star BEE Rating,White,Ester Nx,No,3550 W,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,80.5 cm x 28.5 cm x 20.5 cm,8 kg,78 cm x 54 cm x 25 cm,28 kg,"High - 39 dB, Low - 32 dB",Digital Display-LED,Yes,Yes,3.62 W/W,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",980 W,No,No,2 AAA Batteries,"26,990"
22,Lloyd,LW19I52MZ,Window,1.5 Ton,5 Star BEE Rating,White,,No,5050 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",,Copper,77 cm x 66 cm x 43 cm,55 kg,73 cm x 52.5 cm x 29.2 cm,26 kg,Low - 45 dB,LED,Yes,Yes,3.4 W/W,Hydrophilic aluminum,Anti Corrosive Blue Fins,Yes,Yes,2 Way Air Direction,4 Way Air Swing,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1149.83 kWh,Yes,,2,"34,855"
23,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,Split,1 Ton,3 Star BEE Rating,"White, Blue1",Floral,No,3517 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,80.5 cm x 28.5 cm x 19.4 cm,11 kg,72 cm x 49.5 cm x 27 cm,21 kg,Low - 35 dB,Yes,Yes,Yes,3.8 W/W,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,"AC 220 - 240 V, 50 Hz",1150 W,No,Yes,2 AAA Batteries,"28,990"
24,SAMSUNG,AR18NV3XEWKNNA/AR18NV3XEWKXNA,Split,1.5 Ton,3 Star BEE Rating,White,,,5350 W,BLDC,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",,Alloy,1065 mm x 301 mm x 311 mm,13.4 kg,790 mm x 548 mm x 285 mm,29.7 kg,"High - 45 dB, Low - 26 dB",,,,3 W/W,,,,Yes,,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,,Yes,Yes,,Yes,,,,,"AC 220 - 240 V, 50 Hz",1860 W,,,,"56,500"
25,Blue Star,IC318EBTU,Split,1.5 Ton,3 Star BEE Rating,White,,No,4850 W,Inverter Compressor,Yes,Yes,R32,"Auto, Cool, Fan, Dry",,Copper,840 mm x 270 mm x 210 mm,9 kg,84 cm x 54 cm x 30 cm,26.8 kg,Low - 43 dB,Yes,,Yes,3.85 W/W,,Anti-corrosive Blue Fins,,Yes,,4 Way Air Swing,No,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,"AC 230 V, 50 Hz",975.37 W,No,,2 AAA Batteries,"37,999"
26,IFFALCON by TCL,FAC-12CSD/V3,Split,1 Ton,3 Star BEE Rating,White,E3,No,3550 W,Eco-Tropical Inverter,Yes,Yes,R32,"Cool Mode, Dry Mode, Fan Mode, Auto Mode�",Eco Tropical Inverter Technology,Copper,77.7 cm x 25 cm x 20.5 cm,8.5 kg,75.4 cm x 55.2 cm x 30 cm,25 kg,"High - 40 dB, Low - 32 dB",LED Digital,Yes,Yes,3.65 W/W,Titan Gold,Titan Gold,Yes,Yes,4 Way,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 165 - 245 V, 50 Hz",1210 W,Yes,Yes,2 AAA Batteries,"25,490"
27,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
28,SAMSUNG,AR12AYMZABENNA/XNA,Split,1 Ton,4 Star BEE Rating,White,,,3300 W,Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,82 cm x 29.9 cm x 21.5 cm,9 kg,72 cm x 54.8 cm x 26.5 cm,24.3 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,634.66 W,,,2 AAA Batteries,"29,490"
29,Lloyd,LS12I56HAWA,Split,1 Ton,5 Star BEE Rating,Print White,Turbocool,No,3520 W,Inverter Compressor,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,87 cm x 20 cm x 29.8 cm,10 kg,56 cm x 56 cm x 36.5 cm,26.7 kg,"High - 45 dB, Low - 28 dB",LED Digital Display,Yes,Yes,3.4 W/W,Blue Coating,Blue Fin,Yes,No,2 Way Air Direction,4 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",577.43 W,No,Yes,2 AAA Batteries,"35,489"
30,LIVPURE,HKS-IN12K3S19A,Split,1 Ton,3 Star BEE Rating,White,,No,3550 W,Inverter,Yes,Yes,R32,"ECO, Turbo",,Copper,80 cm x 29.5 cm x 23 cm,9.3 kg,78 cm x 55.7 cm x 24.1 cm,28 kg,Low - 37 dB,Hidden,,Yes,4 W/W,,,,Yes,Two Way,Air Vent: Cross Flow,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,AC 230 V,1080 W,Yes,Yes,AAA Batteries,"38,990"
31,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
32,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,Low - 45 dB,No,,Yes,4.1 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
33,CARRIER,18K ESTRA Nx (3 STAR) WRAC AC R32,Window,1.5 Ton,3 Star BEE Rating,White,Estra Nx,No,5100 W,Rotary,Yes,Yes,R32,"Dry Mode, Turbo Mode, Sleep Mode, Auto Fan Speed Mode, Energy Saver Mode",Insta Kool,Copper,66 cm x 42.8 cm x 66 cm,54 kg,,,"High - 56 dB, Low - 50 dB",7 Segment LED Display,Yes,Yes,3 W/W,Blue Coating,Bare,No,Yes,,3 Step Fan Speed,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 230, 50 Hz",1700 W,No,No,2 AAA Batteries,"27,990"
34,Whirlpool,Maxicool Pro,Split,1.5 Ton,3 Star BEE Rating,White,,Yes,1950 W,Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",,Copper,890 mm x 220 mm x 300 mm,10 kg,715 mm x 540 mm x 240 mm,23 kg,,,,,4 W/W,,,,,,,No,Yes,,Yes,,,,,,,,"AC 230 V, 50 Hz, Single Phase",1087.22 W,,,,"33,099"
35,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
36,Voltas,155V DZW (R32),Split,1.2 Ton,5 Star BEE Rating,White,,,4000 W,High EER Rotary - BLDC,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28.5 kg,,LED,,Yes,5 W/W,,,,Yes,,Air Vent: Cross Flow,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,"AC 230 V, 50 Hz",1010 W,,Yes,2 AAA Batteries,"32,990"
37,Lloyd,GLS18I36WRBP,Split,1.5 Ton,3 Star BEE Rating,White,,,5100 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",,Copper,100 cm x 32.7 cm x 22 cm,12.2 kg,44.5 cm x 60.5 cm x 94.2 cm,27.9 kg,,LED,,Yes,3.83 W/W,,,Yes,Yes,2 Way Air Direction,,Yes,No,No,Yes,Yes,Yes,,Yes,,No,Yes,"AC 230 V, 50 Hz",1030.5 kWh,Yes,,,"33,990"
38,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,Split,2 Ton,3 Star BEE Rating,White,Ester Nx,No,6200 W,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,104.5 cm x 31.5 cm x 23.5 cm,14.2 kg,84.5 cm x 70 cm x 32 cm,44 kg,"High - 46 dB, Low - 40 dB",Digital Display-LED,Yes,Yes,3.62 W/W,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,No,No,2 AAA Batteries,"41,990"
39,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",Kaze Plus,No,4982 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry",Inverter,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,Low - 48 dB,No,No,Yes,3.67 W/W,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,No,No,AAA Batteries,"31,990"
40,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
41,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,,,,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,,,Yes,3.67 W/W,,,No,,,,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1748 W,,,,"31,990"
42,CARRIER,14K 3 STAR ESTER NXi INVERTER R32 SPLIT AC,Split,1.2 Ton,3 Star BEE Rating,White,Ester NXi Inverter,No,3900 W,DC Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,94 cm x 27.5 cm x 20.5 cm,10.5 kg,78 cm x 54 cm x 25 cm,25.5 kg,"High - 42 dB, Low - 37 dB",Digital Display-LED,Yes,Yes,3.9 W/W,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1235 W,No,No,2 AAA Batteries,"33,990"
43,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",Inverter,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,High - 35 dB,No,No,Yes,4.1 W/W,,Ocean Black Fin,No,Yes,2 Way,4 Way Air Swing,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
44,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,Split,1.5 Ton,5 Star BEE Rating,White,,,5000 W,Rotary,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",,Copper,105.5 cm x 29.9 cm x 21.5 cm,11.4 kg,88 cm x 63.8 cm x 31 cm,37 kg,,,,,4.65 W/W,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,1380 W,,,AAA Batteries,"35,990"
45,Blue Star,IC518EBTU,Split,1.5 Ton,5 Star BEE Rating,White,,No,5030 W,Inverter Compressor,Yes,Yes,R32,"Auto, Cool, Fan, Dry",,Copper,94 cm x 31.5 cm x 23.5 cm,11.8 kg,84 cm x 54 cm x 30 cm,27.7 kg,Low - 40 dB,LED,No,Yes,4.66 W/W,,Anti-corrosive Blue Fins,,Yes,,4 Way Air Swing,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"AC 230 V, 50 Hz",836.04 W,No,Yes,2 AAA Batteries,"42,990"
46,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,R32,,,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,LED,,Yes,3.67 W/W,,,No,Yes,,Air Vent: Cross Flow,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,No,,"AC 220 - 240 V, 50 Hz",1748 W,,Yes,,"31,990"
