,Brand,Model Name,Type,Capacity in Tons,Star Rating,Color,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,LED Backlit Buttons,Night Glow Buttons on Remote,Battery Type,Price
642,O General,ASGG24CGTA,Split,2 Ton,5 Star BEE Rating,White,,,7000 W,Rotary,Yes,Yes,R32,"Cooling Mode, Heating Mode, Dehumidification Mode, Fan Mode, Auto Operation Mode",,Copper,83 cm x 27 cm x 23 cm,11 kg,79 cm x 54 cm x 29 cm,35 kg,Low - 31 dB,Magic Display,Yes,,4.73 W/W,,Ocean Black Fin,Yes,Yes,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,AC 155 - 265 V,2140 W,,,2 AAA Batteries,"69,490"
643,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
644,SAMSUNG,AR18AY4ZAPG,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,88.9 cm x 29.9 cm x 21.5 cm,10.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,Low - 40 dB,Yes,,Yes,4.66 W/W,,Anti-corrosive Blue Fins,,Yes,,4 Way Air Swing,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,AC 230 V,940.09 W,No,,2 AAA Batteries,"33,750"
645,SAMSUNG,AR12NV5XEWKXNA,Split,1 Ton,5 Star BEE Rating,White,,,3200 W,BLDC,Yes,Yes,,,,Alloy,828 mm x 267 mm x 265 mm,9.3 kg,720 mm x 548 mm x 265 mm,24.5 kg,"High - 39 dB, Low - 22 dB",,,,3 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 220 - 240 V, 50 Hz",930 W,,,,"43,500"
646,SAMSUNG,AR12NV5XEWKXNA,Split,1 Ton,5 Star BEE Rating,White,,,3200 W,BLDC,Yes,Yes,,,,Alloy,828 mm x 267 mm x 265 mm,9.3 kg,720 mm x 548 mm x 265 mm,24.5 kg,"High - 39 dB, Low - 22 dB",,,,3 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 220 - 240 V, 50 Hz",930 W,,,,"43,500"
647,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",Kaze Plus,No,4982 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry",Inverter,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,Low - 48 dB,No,No,Yes,3.67 W/W,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,No,No,AAA Batteries,"31,990"
648,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,,,,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,,,Yes,3.67 W/W,,,No,,,,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1748 W,,,,"31,990"
649,Blue Star,3WAE081YDF,Window,0.75 Ton,3 Star BEE Rating,White,YD Series,No,2499 W,Rotary,Yes,Yes,R-410A,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",,Copper,60 cm x 38 cm x 56 cm,35.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,,Yes,,,3 W/W,,,,Yes,,,No,Yes,Yes,Yes,,,Yes,Yes,,,,"AC 230 V, 50 Hz",840 W,,,2 AAA Batteries,"19,990"
650,Voltas,245V ZZV,Split,2 Ton,5 Star BEE Rating,White,,No,5200 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,99 cm x 31.5 cm x 22.5 cm,11.4 kg,87 cm x 54 cm x 35.5 cm,35 kg,Low - 50 dB,LED Magic Display,Yes,Yes,3.67 W/W,,Ocean Black Fin,No,Yes,2 Way Air Direction,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,"AC 230 V, 50 Hz",2000 W,,,AAA Batteries,"50,990"
651,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
